TYPNN,DATE_KST,LAT,LON,PRESSURE,WIND,SPEED,T15,T25,TYPNAME,I_GRADE,K_GRADE,S_GRADE
1501,2015-01-14 15:00,10.3,138.5,1000,18,32,220,0,MEKKHALA,TS,약,소형
1501,2015-01-14 21:00,10.8,137.4,1000,18,22,220,0,MEKKHALA,TS,약,소형
1501,2015-01-15 3:00,11,136.4,1000,18,19,220,0,MEKKHALA,TS,약,소형
1501,2015-01-15 9:00,11.5,134.7,1000,18,32,230,0,MEKKHALA,TS,약,소형
1501,2015-01-15 15:00,11.7,133,996,19,31,270,0,MEKKHALA,TS,약,소형
1501,2015-01-15 21:00,12,132.1,996,19,17,270,0,MEKKHALA,TS,약,소형
1501,2015-01-16 3:00,12,131.2,996,19,16,350,0,MEKKHALA,TS,약,중형
1501,2015-01-16 9:00,11.7,130.8,996,19,9,300,0,MEKKHALA,TS,약,중형
1501,2015-01-16 15:00,11.4,129.3,990,24,28,350,0,MEKKHALA,TS,약,중형
1501,2015-01-16 21:00,11.2,127.9,985,27,26,350,100,MEKKHALA,STS,중,중형
1501,2015-01-17 3:00,11,127.6,975,34,7,350,80,MEKKHALA,TY,강,중형
1501,2015-01-17 9:00,11.2,126.8,970,36,15,350,150,MEKKHALA,TY,강,중형
1501,2015-01-17 15:00,11.9,125.9,970,36,21,350,120,MEKKHALA,TY,강,중형
1501,2015-01-17 21:00,12.4,125.2,980,31,16,330,110,MEKKHALA,STS,중,중형
1501,2015-01-18 3:00,12.6,124.5,990,24,13,280,0,MEKKHALA,TS,약,소형
1501,2015-01-18 9:00,13.7,123.9,992,22,23,280,0,MEKKHALA,TS,약,소형
1501,2015-01-18 15:00,14,122.7,996,19,22,230,0,MEKKHALA,TS,약,소형
1501,2015-01-18 21:00,15,121.9,998,18,23,180,0,MEKKHALA,TS,약,소형
1501,2015-01-19 3:00,16.2,121.5,1002,-1,23,0,0,MEKKHALA,0,0,소형
1502,2015-02-08 3:00,11.4,157.4,1000,18,13,220,0,HIGOS,TS,약,소형
1502,2015-02-08 9:00,12,157.4,994,21,11,230,0,HIGOS,TS,약,소형
1502,2015-02-08 15:00,12.4,157.1,990,24,9,250,0,HIGOS,TS,약,소형
